SYMBOL,NAME
TSLA.US,TESLA
AAPL.US,APPLE
AMZN.US,AMAZON
FB.US,FACEBOOK
MSFT.US,MICROSOFT
GOOGL.US,GOOGLE
NFLX.US,NETFLIX
NVDA.US,NVIDIA
INTC.US,INTEL
ADBE.US,ADOBE
EBAY.US,EBAY
MDB.US,MONGODB
SBUX.US,STARBUCKS
ZM.US,ZOOM VIDEO COMMUNICATIONS
AMD.US,ADVANCED MICRO DEVICES
ATVI.US,ACTIVISION BLIZZARD
EA.US,ELECTRONIC ARTS
CSCO.US,CISCO SYSTEMS
MRNA.US,MODERNA
PYPL.US,PAYPAL HOLDINGS
AAL.US,AMERICAN AIRLINES GROUP
GILD.US,GILEAD SCIENCES
PEP.US,PEPSICO
QCOM.US,QUALCOMM
KHC.US,KRAFT HEINZ
BYND.US,BEYOND MEAT
ROKU.US,ROKU
TTD.US,TRADE DESK
ZS.US,ZSCALER
PAAS.US,PAN AMERICAN SILVER
COUP.US,COUPA SOFTWARE
BNTX.US,BIONTECH SE
WDC.US,WESTERN DIGITAL
UAL.US,UNITED AIRLINES HOLDINGS
BIDU.US,BAIDU
OKTA.US,OKTA
AMAT.US,APPLIED MATERIALS
BKNG.US,BOOKING HOLDINGS
NKLA.US,NIKOLA
BIIB.US,BIOGEN
AVGO.US,BROADCOM
